Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Predicting early intrahepatic recurrence after curative resection of colorectal liver metastases with molecular markers.","/pubmed/25561185","Narita M, Oussoultzoglou E, Chenard MP, Fuchshuber P, Yamamoto T, Addeo P, Jaeck D, Bachellier P.","World J Surg. 2015 May;39(5):1167-76. doi: 10.1007/s00268-014-2916-1.","World J Surg.  2015","PubMed","citation","PMID:25561185","pubmed","25561185","create date:2015/01/07 | first author:Narita M",
"Combined microwave thermal ablation and liver resection for single step treatment of otherwise unresectable colorectal liver metastases; a monoistitutional experiences.","/pubmed/25535184","Tropea A, Biondi A, Corsaro A, Donati M, Basile F, Gruttadauria S.","Eur Rev Med Pharmacol Sci. 2014 Dec;18(2 Suppl):6-10.","Eur Rev Med Pharmacol Sci.  2014","PubMed","citation","PMID:25535184","pubmed","25535184","create date:2014/12/24 | first author:Tropea A",
"ALPPS: challenging the concept of unresectability--a systematic review.","/pubmed/25496851","Bertens KA, Hawel J, Lung K, Buac S, Pineda-Solis K, Hernandez-Alejandro R.","Int J Surg. 2015 Jan;13:280-287. doi: 10.1016/j.ijsu.2014.12.008. Epub 2014 Dec 11. Review.","Int J Surg.  2015","PubMed","citation","PMID:25496851","pubmed","25496851","create date:2014/12/17 | first author:Bertens KA",
"Aggressive surgical treatment with bony pelvic resection for locally recurrent rectal cancer.","/pubmed/25477268","Uehara K, Ito Z, Yoshino Y, Arimoto A, Kato T, Nakamura H, Imagama S, Nishida Y, Nagino M.","Eur J Surg Oncol. 2015 Mar;41(3):413-20. doi: 10.1016/j.ejso.2014.11.005. Epub 2014 Nov 22.","Eur J Surg Oncol.  2015","PubMed","citation","PMID:25477268","pubmed","25477268","create date:2014/12/06 | first author:Uehara K",
"Repeat hepatectomy with inferior vena cava re-resection for colorectal liver metastases: case report and review of the literature.","/pubmed/25466296","Marangoni G, Hakeem A, Khan A, Rotimi O, Lodge JP.","Surg Today. 2015 Nov;45(11):1450-6. doi: 10.1007/s00595-014-1091-1. Epub 2014 Dec 4. Review.","Surg Today.  2015","PubMed","citation","PMID:25466296","pubmed","25466296","create date:2014/12/04 | first author:Marangoni G",
"Prognostic value of biomarkers in metastatic colorectal cancer patients.","/pubmed/25456112","Kataoka K, Kanazawa A, Nakajima A, Yamaguchi A, Arimoto A.","J Surg Res. 2015 Apr;194(2):343-50. doi: 10.1016/j.jss.2014.10.006. Epub 2014 Oct 13.","J Surg Res.  2015","PubMed","citation","PMID:25456112","pubmed","25456112","create date:2014/12/03 | first author:Kataoka K",
"Conversion Therapy Using mFOLFOX6 With Panitumumab for Unresectable Liver Metastases From Multiple Colorectal Cancers With Familial Adenomatous Polyposis.","/pubmed/25437589","Toiyama Y, Inoue Y, Kitajima T, Okigami M, Kawamura M, Kawamoto A, Okugawa Y, Hiro J, Tanaka K, Mohri Y, Kusunoki M.","Int Surg. 2014 Nov-Dec;99(6):795-801. doi: 10.9738/INTSURG-D-13-00125.1.","Int Surg.  2014","PubMed","citation","PMID:25437589 | PMCID:PMC4254242","pubmed","25437589","create date:2014/12/02 | first author:Toiyama Y",
"Outcomes of surgical treatment of primary signet ring cell carcinoma of the colon and rectum: 22 cases reviewed with literature.","/pubmed/25437572","Belli S, Aytac HO, Karagulle E, Yabanoglu H, Kayaselcuk F, Yildirim S.","Int Surg. 2014 Nov-Dec;99(6):691-8. doi: 10.9738/INTSURG-D-14-00067.1. Review.","Int Surg.  2014","PubMed","citation","PMID:25437572 | PMCID:PMC4254225","pubmed","25437572","create date:2014/12/02 | first author:Belli S",
"The evolution of liver-directed treatments for hepatic colorectal metastases.","/pubmed/25403632","Park J, Chen YJ, Lu WP, Fong Y.","Oncology (Williston Park). 2014 Nov;28(11):991-1003.","Oncology (Williston Park).  2014","PubMed","citation","PMID:25403632","pubmed","25403632","create date:2014/11/19 | first author:Park J",
"Laparoscopic versus open resection for colorectal liver metastases: a single-center study with propensity score analysis.","/pubmed/25402497","de'Angelis N, Eshkenazy R, Brunetti F, Valente R, Costa M, Disabato M, Salloum C, Compagnon P, Laurent A, Azoulay D.","J Laparoendosc Adv Surg Tech A. 2015 Jan;25(1):12-20. doi: 10.1089/lap.2014.0477. Epub 2014 Nov 17.","J Laparoendosc Adv Surg Tech A.  2015","PubMed","citation","PMID:25402497","pubmed","25402497","create date:2014/11/18 | first author:de'Angelis N",
"Update on the role of imaging in management of metastatic colorectal cancer.","/pubmed/25384292","Tirumani SH, Kim KW, Nishino M, Howard SA, Krajewski KM, Jagannathan JP, Cleary JM, Ramaiya NH, Shinagare AB.","Radiographics. 2014 Nov-Dec;34(7):1908-28. doi: 10.1148/rg.347130090. Review.","Radiographics.  2014","PubMed","citation","PMID:25384292 | PMCID:PMC4386871","pubmed","25384292","create date:2014/11/11 | first author:Tirumani SH",
"The impact of neural invasion severity in gastrointestinal malignancies: a clinicopathological study.","/pubmed/25379860","Liebl F, Demir IE, Mayer K, Schuster T, DʼHaese JG, Becker K, Langer R, Bergmann F, Wang K, Rosenberg R, Novotny AR, Feith M, Reim D, Friess H, Ceyhan GO.","Ann Surg. 2014 Nov;260(5):900-7; discussion 907-8. doi: 10.1097/SLA.0000000000000968.","Ann Surg.  2014","PubMed","citation","PMID:25379860","pubmed","25379860","create date:2014/11/08 | first author:Liebl F",
"Resection of liver metastases from colorectal mucinous adenocarcinoma: is this a different disease? Results of a case-control study.","/pubmed/25379857","Viganò L, Russolillo N, Ferrero A, De Rosa G, Ferreri E, Forchino F, Sperti E, Capussotti L.","Ann Surg. 2014 Nov;260(5):878-84; discussion 884-5. doi: 10.1097/SLA.0000000000000981.","Ann Surg.  2014","PubMed","citation","PMID:25379857","pubmed","25379857","create date:2014/11/08 | first author:Viganò L",
"Does the primary site of colorectal cancer impact outcomes for patients with metastatic disease?","/pubmed/25377235","Price TJ, Beeke C, Ullah S, Padbury R, Maddern G, Roder D, Townsend AR, Moore J, Roy A, Tomita Y, Karapetis C.","Cancer. 2015 Mar 15;121(6):830-5. doi: 10.1002/cncr.29129. Epub 2014 Nov 6.","Cancer.  2015","PubMed","citation","PMID:25377235","pubmed","25377235","create date:2014/11/08 | first author:Price TJ",
"Tumour characteristics, treatment patterns and survival of patients aged 80 years or older with colorectal cancer.","/pubmed/25376705","Kotake K, Asano M, Ozawa H, Kobayashi H, Sugihara K.","Colorectal Dis. 2015 Mar;17(3):205-15. doi: 10.1111/codi.12826.","Colorectal Dis.  2015","PubMed","citation","PMID:25376705","pubmed","25376705","create date:2014/11/08 | first author:Kotake K",
"Hepatic vein-sparing hepatectomy for multiple colorectal liver metastases at the caval confluence.","/pubmed/25352266","Torzilli G, Procopio F, Cimino M, Donadon M, Fabbro DD, Costa G, Garcia-Etienne CA.","Ann Surg Oncol. 2015 May;22(5):1576. doi: 10.1245/s10434-014-4189-1. Epub 2014 Oct 29.","Ann Surg Oncol.  2015","PubMed","citation","PMID:25352266","pubmed","25352266","create date:2014/10/30 | first author:Torzilli G",
"Comparison of neuroendocrine differentiation and KRAS/NRAS/BRAF/PIK3CA/TP53 mutation status in primary and metastatic colorectal cancer.","/pubmed/25337237","Kleist B, Kempa M, Novy M, Oberkanins C, Xu L, Li G, Loland C, Poetsch M.","Int J Clin Exp Pathol. 2014 Aug 15;7(9):5927-39. eCollection 2014.","Int J Clin Exp Pathol.  2014","PubMed","citation","PMID:25337237 | PMCID:PMC4203208","pubmed","25337237","create date:2014/10/23 | first author:Kleist B",
"Safety and Efficacy of Ultrasound-Guided Radiofrequency Ablation of Recurrent Colorectal Cancer Liver Metastases after Hepatectomy.","/pubmed/25332220","Valls C, Ramos E, Leiva D, Ruiz S, Martinez L, Rafecas A.","Scand J Surg. 2015 Sep;104(3):169-75. doi: 10.1177/1457496914553147. Epub 2014 Oct 20.","Scand J Surg.  2015","PubMed","citation","PMID:25332220","pubmed","25332220","create date:2014/10/22 | first author:Valls C",
"Liver-directed therapies in metastatic colorectal cancer.","/pubmed/25276410","Clark ME, Smith RR.","J Gastrointest Oncol. 2014 Oct;5(5):374-87. doi: 10.3978/j.issn.2078-6891.2014.064. Review.","J Gastrointest Oncol.  2014","PubMed","citation","PMID:25276410 | PMCID:PMC4173041","pubmed","25276410","create date:2014/10/03 | first author:Clark ME",
"Maximal debulking liver resection as a beneficial treatment strategy for advanced and aggressive colorectal liver metastases.","/pubmed/25275054","Tanaka K, Murakami T, Yabushita Y, Hiroshima Y, Matsuo K, Endo I, Koda K.","Anticancer Res. 2014 Oct;34(10):5547-54.","Anticancer Res.  2014","PubMed","citation","PMID:25275054","pubmed","25275054","create date:2014/10/03 | first author:Tanaka K",
"Mixed adenoneuroendocrine carcinoma of the colon: molecular pathogenesis and treatment.","/pubmed/25275049","Vanacker L, Smeets D, Hoorens A, Teugels E, Algaba R, Dehou MF, De Becker A, Lambrechts D, De Greve J.","Anticancer Res. 2014 Oct;34(10):5517-21.","Anticancer Res.  2014","PubMed","citation","PMID:25275049","pubmed","25275049","create date:2014/10/03 | first author:Vanacker L",
"Laparoscopic right hemihepatic vascular inflow occlusion by lowering of the hilar plate.","/pubmed/25264715","Chen H, Wang F, Deng F, Zhen Z, Lai EC, Lau WY.","J Laparoendosc Adv Surg Tech A. 2014 Dec;24(12):833-6. doi: 10.1089/lap.2014.0082.","J Laparoendosc Adv Surg Tech A.  2014","PubMed","citation","PMID:25264715","pubmed","25264715","create date:2014/09/30 | first author:Chen H",
"Modified Pringle maneuver for laparoscopic liver resection.","/pubmed/25223928","Nomi T, Fuks D, Agrawal A, Govindasamy M, Araki K, Gayet B.","Ann Surg Oncol. 2015 Mar;22(3):852. doi: 10.1245/s10434-014-4088-5. Epub 2014 Sep 16.","Ann Surg Oncol.  2015","PubMed","citation","PMID:25223928","pubmed","25223928","create date:2014/09/17 | first author:Nomi T",
"Tissue management with tri-staple technology in major and minor laparoscopic liver resections.","/pubmed/25216429","Scuderi V, Troisi RI.","Int Surg. 2014 Sep-Oct;99(5):606-11. doi: 10.9738/INTSURG-D-13-00101.1.","Int Surg.  2014","PubMed","citation","PMID:25216429 | PMCID:PMC4253932","pubmed","25216429","create date:2014/09/13 | first author:Scuderi V",
"Prognostic Implications of Primary Tumor Resection in Stage IVB Colorectal Cancer in Elderly Patients.","/pubmed/25210686","Ahn HJ, Oh HS, Ahn Y, Lee SJ, Kim HJ, Kim MH, Eom DW, Kwak JY, Han MS, Song JS.","Ann Coloproctol. 2014 Aug;30(4):175-81. doi: 10.3393/ac.2014.30.4.175. Epub 2014 Aug 26.","Ann Coloproctol.  2014","PubMed","citation","PMID:25210686 | PMCID:PMC4155136","pubmed","25210686","create date:2014/09/12 | first author:Ahn HJ",
"Portal vein embolization using an adapted hysterosalpingography catheter.","/pubmed/25184773","Steinbrück K, Alves J, Fernandes R, Enne M, Pacheco-Moreira LF.","Arq Bras Cir Dig. 2014 Jul-Sep;27(3):204-5. English, Portuguese. ","Arq Bras Cir Dig.  2014","PubMed","citation","PMID:25184773 | PMCID:PMC4676370","pubmed","25184773","create date:2014/09/04 | first author:Steinbrück K",
"Totally laparoscopic right hepatectomy combined with resection of the inferior vena cava by anterior approach.","/pubmed/25164038","Nomi T, Fuks D, Agrawal A, Kawaguchi Y, Ogiso S, Gayet B.","Ann Surg Oncol. 2015 Mar;22(3):851. doi: 10.1245/s10434-014-4030-x. Epub 2014 Aug 28.","Ann Surg Oncol.  2015","PubMed","citation","PMID:25164038","pubmed","25164038","create date:2014/08/29 | first author:Nomi T",
"KRAS mutation influences recurrence patterns in patients undergoing hepatic resection of colorectal metastases.","/pubmed/25155157","Kemeny NE, Chou JF, Capanu M, Gewirtz AN, Cercek A, Kingham TP, Jarnagin WR, Fong YC, DeMatteo RP, Allen PJ, Shia J, Ang C, Vakiani E, D'Angelica MI.","Cancer. 2014 Dec 15;120(24):3965-71. doi: 10.1002/cncr.28954. Epub 2014 Aug 25.","Cancer.  2014","PubMed","citation","PMID:25155157 | PMCID:PMC4574496","pubmed","25155157","create date:2014/08/27 | first author:Kemeny NE",
"Liver resection for colorectal metastases: results and prognostic factors with 10-year follow-up.","/pubmed/25139067","Bouviez N, Lakkis Z, Lubrano J, Tuerhongjiang T, Paquette B, Heyd B, Mantion G.","Langenbecks Arch Surg. 2014 Dec;399(8):1031-8. doi: 10.1007/s00423-014-1229-z. Epub 2014 Aug 21.","Langenbecks Arch Surg.  2014","PubMed","citation","PMID:25139067","pubmed","25139067","create date:2014/08/21 | first author:Bouviez N",
"The use of PET-MRI in the follow-up after radiofrequency- and microwave ablation of colorectal liver metastases.","/pubmed/25103913","Nielsen K, Scheffer HJ, Pieters IC, van Tilborg AA, van Waesberghe JH, Oprea-Lager DE, Meijerink MR, Kazemier G, Hoekstra OS, Schreurs HW, Sietses C, Meijer S, Comans EF, van den Tol PM.","BMC Med Imaging. 2014 Aug 8;14:27. doi: 10.1186/1471-2342-14-27.","BMC Med Imaging.  2014","PubMed","citation","PMID:25103913 | PMCID:PMC4141664","pubmed","25103913","create date:2014/08/12 | first author:Nielsen K",
"Recurrence patterns after resection of liver metastases from colorectal cancer.","/pubmed/25103010","Sorbye H.","Recent Results Cancer Res. 2014;203:243-52. doi: 10.1007/978-3-319-08060-4_17. Review.","Recent Results Cancer Res.  2014","PubMed","citation","PMID:25103010","pubmed","25103010","create date:2014/08/12 | first author:Sorbye H",
"Rectal cancer with synchronous liver metastases: leave it all in? When (not) to resect the primary?","/pubmed/25103009","Lordick F.","Recent Results Cancer Res. 2014;203:231-41. doi: 10.1007/978-3-319-08060-4_16.","Recent Results Cancer Res.  2014","PubMed","citation","PMID:25103009","pubmed","25103009","create date:2014/08/12 | first author:Lordick F",
"Sporadic early-onset colorectal cancer is a specific sub-type of cancer: a morphological, molecular and genetics study.","/pubmed/25083765","Kirzin S, Marisa L, Guimbaud R, De Reynies A, Legrain M, Laurent-Puig P, Cordelier P, Pradère B, Bonnet D, Meggetto F, Portier G, Brousset P, Selves J.","PLoS One. 2014 Aug 1;9(8):e103159. doi: 10.1371/journal.pone.0103159. eCollection 2014.","PLoS One.  2014","PubMed","citation","PMID:25083765 | PMCID:PMC4118858","pubmed","25083765","create date:2014/08/02 | first author:Kirzin S",
"Survival outcomes of liver metastasectomy in colorectal cancer cases: a single-center analysis in Turkey.","/pubmed/25040974","Cokmert S, Ellidokuz H, Demir L, Fuzun M, Astarcioglu I, Aslan D, Yilmaz U, Oztop I.","Asian Pac J Cancer Prev. 2014;15(13):5195-200.","Asian Pac J Cancer Prev.  2014","PubMed","citation","PMID:25040974","pubmed","25040974","create date:2014/07/22 | first author:Cokmert S",
"Relationship between primary colorectal tumour and location of colorectal liver metastases.","/pubmed/25040656","Pathak S, Palkhi E, Dave R, White A, Pandanaboyana S, Prasad KR, Lodge JP, Toogood GJ.","ANZ J Surg. 2016 May;86(5):408-10. doi: 10.1111/ans.12767. Epub 2014 Jul 14.","ANZ J Surg.  2016","PubMed","citation","PMID:25040656","pubmed","25040656","create date:2014/07/22 | first author:Pathak S",
"Single-port laparoscopic approach of the left liver: initial experience.","/pubmed/24999088","Camps Lasa J, Cugat Andorrà E, Herrero Fonollosa E, García Domingo MI, Sánchez Martínez R, Vargas Pierola H, Rodríguez Campos A.","Cir Esp. 2014 Nov;92(9):589-94. doi: 10.1016/j.ciresp.2014.05.009. Epub 2014 Jul 4. English, Spanish. ","Cir Esp.  2014","PubMed","citation","PMID:24999088","pubmed","24999088","create date:2014/07/08 | first author:Camps Lasa J",
"Laparoscopic approach to a planned two-stage hepatectomy for bilobar colorectal liver metastases.","/pubmed/24990234","Kilburn DJ, Chiow AK, Lewin J, Kienzle N, Cavallucci DJ, Bryant R, O'Rourke N.","ANZ J Surg. 2016 Oct;86(10):811-815. doi: 10.1111/ans.12748. Epub 2014 Jul 2.","ANZ J Surg.  2016","PubMed","citation","PMID:24990234","pubmed","24990234","create date:2014/07/06 | first author:Kilburn DJ",
"Radioembolization of hepatic tumors.","/pubmed/24982766","Kennedy A.","J Gastrointest Oncol. 2014 Jun;5(3):178-89. doi: 10.3978/j.issn.2078-6891.2014.037. Review.","J Gastrointest Oncol.  2014","PubMed","citation","PMID:24982766 | PMCID:PMC4074949","pubmed","24982766","create date:2014/07/02 | first author:Kennedy A",
"Patterns of recurrence following selective intraoperative radiofrequency ablation as an adjunct to hepatic resection for colorectal liver metastases.","/pubmed/24965163","Eltawil KM, Boame N, Mimeault R, Shabana W, Balaa FK, Jonker DJ, Asmis TR, Martel G.","J Surg Oncol. 2014 Nov;110(6):734-8. doi: 10.1002/jso.23689. Epub 2014 Jun 25.","J Surg Oncol.  2014","PubMed","citation","PMID:24965163","pubmed","24965163","create date:2014/06/27 | first author:Eltawil KM",
"The prognostic significance of lymphatics in colorectal liver metastases.","/pubmed/24963215","Muralidharan V, Nguyen L, Banting J, Christophi C.","HPB Surg. 2014;2014:954604. doi: 10.1155/2014/954604. Epub 2014 May 20.","HPB Surg.  2014","PubMed","citation","PMID:24963215 | PMCID:PMC4054842","pubmed","24963215","create date:2014/06/26 | first author:Muralidharan V",
"Favorable outcome after repeat resection for colorectal liver metastases.","/pubmed/24962942","Saiura A, Yamamoto J, Koga R, Takahashi Y, Takahashi M, Inoue Y, Ono Y, Kokudo N.","Ann Surg Oncol. 2014 Dec;21(13):4293-9. doi: 10.1245/s10434-014-3863-7. Epub 2014 Jun 25.","Ann Surg Oncol.  2014","PubMed","citation","PMID:24962942","pubmed","24962942","create date:2014/06/26 | first author:Saiura A",
"Efficacy of cetuximab in metastatic colon cancer - case report.","/pubmed/24956345","Grigorean VT, Ciuhu AN, Rahnea Nita G, Strambu V, Straja DN, Popescu M, Sandu AM, Rahnea Nita RA.","Chirurgia (Bucur). 2014 May-Jun;109(3):383-9.","Chirurgia (Bucur).  2014","PubMed","citation","PMID:24956345","pubmed","24956345","create date:2014/06/24 | first author:Grigorean VT",
"Influence of age and site of disease on lymph node yield in colorectal cancer.","/pubmed/24929691","Ahmadi O, Stringer MD, Black MA, McCall JL.","N Z Med J. 2014 Jun 6;127(1395):31-40.","N Z Med J.  2014","PubMed","citation","PMID:24929691","pubmed","24929691","create date:2014/06/16 | first author:Ahmadi O",
"Effect of M1a and M1b category in metastatic colorectal cancer.","/pubmed/24899642","Kennecke H, Yu J, Gill S, Cheung WY, Blanke CD, Speers C, Woods R.","Oncologist. 2014 Jul;19(7):720-6. doi: 10.1634/theoncologist.2013-0442. Epub 2014 Jun 4.","Oncologist.  2014","PubMed","citation","PMID:24899642 | PMCID:PMC4077443","pubmed","24899642","create date:2014/06/06 | first author:Kennecke H",
"A retrospective comparison of microwave ablation vs. radiofrequency ablation for colorectal cancer hepatic metastases.","/pubmed/24889486","Correa-Gallego C, Fong Y, Gonen M, D'Angelica MI, Allen PJ, DeMatteo RP, Jarnagin WR, Kingham TP.","Ann Surg Oncol. 2014 Dec;21(13):4278-83. doi: 10.1245/s10434-014-3817-0. Epub 2014 Jun 3.","Ann Surg Oncol.  2014","PubMed","citation","PMID:24889486 | PMCID:PMC4529120","pubmed","24889486","create date:2014/06/04 | first author:Correa-Gallego C",
"Does Gadoxetic acid-enhanced 3.0T MRI in addition to 64-detector-row contrast-enhanced CT provide better diagnostic performance and change the therapeutic strategy for the preoperative evaluation of colorectal liver metastases?","/pubmed/24865698","Sofue K, Tsurusaki M, Murakami T, Onoe S, Tokue H, Shibamoto K, Arai Y, Sugimura K.","Eur Radiol. 2014 Oct;24(10):2532-9. doi: 10.1007/s00330-014-3233-7. Epub 2014 May 28.","Eur Radiol.  2014","PubMed","citation","PMID:24865698","pubmed","24865698","create date:2014/05/29 | first author:Sofue K",
"Prognostic implication of mucinous histology in resected colorectal cancer liver metastases.","/pubmed/24856126","Lupinacci RM, Mello ES, Coelho FF, Kruger JA, Perini MV, Pinheiro RS, Fonseca GM, Cecconello I, Herman P.","Surgery. 2014 Jun;155(6):1062-8. doi: 10.1016/j.surg.2014.01.011. Epub 2014 Feb 5.","Surgery.  2014","PubMed","citation","PMID:24856126","pubmed","24856126","create date:2014/05/27 | first author:Lupinacci RM",
"Histologic categorization of fibrotic cancer stroma in the primary tumor is an independent prognostic index in resectable colorectal liver metastasis.","/pubmed/24832160","Ueno H, Konishi T, Ishikawa Y, Shimazaki H, Ueno M, Aosasa S, Saiura A, Hase K, Yamamoto J.","Am J Surg Pathol. 2014 Oct;38(10):1380-6. doi: 10.1097/PAS.0000000000000232.","Am J Surg Pathol.  2014","PubMed","citation","PMID:24832160","pubmed","24832160","create date:2014/05/17 | first author:Ueno H",
"Rectal site and suboptimal nodal yield predict systemic recurrence in resected colorectal carcinoma: a case-control study.","/pubmed/24813440","Hayes BD, O'Riordan JM, Stuart C, Muldoon C.","Int J Surg Pathol. 2014 Sep;22(6):505-11. doi: 10.1177/1066896914534464. Epub 2014 May 9.","Int J Surg Pathol.  2014","PubMed","citation","PMID:24813440","pubmed","24813440","create date:2014/05/13 | first author:Hayes BD",
"Surgery for colorectal liver metastases: the impact of resection margins on recurrence and overall survival.","/pubmed/24767422","Angelsen JH, Horn A, Eide GE, Viste A.","World J Surg Oncol. 2014 Apr 27;12:127. doi: 10.1186/1477-7819-12-127.","World J Surg Oncol.  2014","PubMed","citation","PMID:24767422 | PMCID:PMC4029814","pubmed","24767422","create date:2014/04/29 | first author:Angelsen JH",
"Locoregional therapies for metastatic colorectal carcinoma to the liver--an evidence-based review.","/pubmed/24760444","Xing M, Kooby DA, El-Rayes BF, Kokabi N, Camacho JC, Kim HS.","J Surg Oncol. 2014 Aug;110(2):182-96. doi: 10.1002/jso.23619. Epub 2014 Apr 24. Review.","J Surg Oncol.  2014","PubMed","citation","PMID:24760444","pubmed","24760444","create date:2014/04/25 | first author:Xing M",
"Surgical outcomes and prognostic factors in patients with synchronous colorectal liver metastases.","/pubmed/24760056","Fontana R, Herman P, Pugliese V, Perini MV, Coelho FF, Cecconello I.","Arq Gastroenterol. 2014 Jan-Mar;51(1):4-9. Erratum in: Arq Gastroenterol. 2014 Jan-Mar;51(3):268. Hermam, Paulo [corrected to Herman, Paulo]; Velho, Fabricio Ferreira [corrected to Coelho, Fabricio Ferreira]. ","Arq Gastroenterol.  2014","PubMed","citation","PMID:24760056","pubmed","24760056","create date:2014/04/25 | first author:Fontana R",
"BRAF mutation predicts for poor outcomes after metastasectomy in patients with metastatic colorectal cancer.","/pubmed/24737664","Yaeger R, Cercek A, Chou JF, Sylvester BE, Kemeny NE, Hechtman JF, Ladanyi M, Rosen N, Weiser MR, Capanu M, Solit DB, D'Angelica MI, Vakiani E, Saltz LB.","Cancer. 2014 Aug 1;120(15):2316-24. doi: 10.1002/cncr.28729. Epub 2014 Apr 15.","Cancer.  2014","PubMed","citation","PMID:24737664 | PMCID:PMC4928876","pubmed","24737664","create date:2014/04/17 | first author:Yaeger R",
"Laparoscopic anterior approach of major hepatectomy combined with colorectal resection for synchronous colorectal liver metastases.","/pubmed/24732745","Liu L, Zeng Y, Lai W, Diao F, Wu H, Wang J, Chu Z.","Surg Laparosc Endosc Percutan Tech. 2014 Dec;24(6):e237-40. doi: 10.1097/SLE.0000000000000019.","Surg Laparosc Endosc Percutan Tech.  2014","PubMed","citation","PMID:24732745","pubmed","24732745","create date:2014/04/16 | first author:Liu L",
"Conservative hepatectomy for tumors involving the middle hepatic vein and segment 1: the liver tunnel.","/pubmed/24723224","Torzilli G, Cimino M, Procopio F, Costa G, Donadon M, Del Fabbro D, Gatti A, Garcia-Etienne CA.","Ann Surg Oncol. 2014 Aug;21(8):2699. doi: 10.1245/s10434-014-3675-9. Epub 2014 Apr 11.","Ann Surg Oncol.  2014","PubMed","citation","PMID:24723224","pubmed","24723224","create date:2014/04/12 | first author:Torzilli G",
"Laparoscopic liver resection: lessons learnt after 100 cases.","/pubmed/24722724","Chan FK, Cheng KC, Yeung YP.","Hong Kong Med J. 2014 Oct;20(5):386-92. doi: 10.12809/hkmj134066. Epub 2014 Apr 11.","Hong Kong Med J.  2014","PubMed","citation","PMID:24722724","pubmed","24722724","create date:2014/04/12 | first author:Chan FK",
"c-Myc-mediated repression of miR-15-16 in hypoxia is induced by increased HIF-2α and promotes tumor angiogenesis and metastasis by upregulating FGF2.","/pubmed/24704828","Xue G, Yan HL, Zhang Y, Hao LQ, Zhu XT, Mei Q, Sun SH.","Oncogene. 2015 Mar 12;34(11):1393-406. doi: 10.1038/onc.2014.82. Epub 2014 Apr 7.","Oncogene.  2015","PubMed","citation","PMID:24704828","pubmed","24704828","create date:2014/04/08 | first author:Xue G",
"Minireview on laparoscopic hepatobiliary and pancreatic surgery.","/pubmed/24634709","Tan-Tam C, Chung SW.","World J Gastrointest Endosc. 2014 Mar 16;6(3):60-7. doi: 10.4253/wjge.v6.i3.60. Review.","World J Gastrointest Endosc.  2014","PubMed","citation","PMID:24634709 | PMCID:PMC3952161","pubmed","24634709","create date:2014/03/19 | first author:Tan-Tam C",
"Metastatic colorectal cancer: survival comparison of hepatic resection versus cytoreductive surgery and hyperthermic intraperitoneal chemotherapy.","/pubmed/24615177","Blackham AU, Russell GB, Stewart JH 4th, Votanopoulos K, Levine EA, Shen P.","Ann Surg Oncol. 2014 Aug;21(8):2667-74. doi: 10.1245/s10434-014-3563-3. Epub 2014 Mar 11.","Ann Surg Oncol.  2014","PubMed","citation","PMID:24615177 | PMCID:PMC4083005","pubmed","24615177","create date:2014/03/13 | first author:Blackham AU",
"Pure laparoscopic right-sided hepatectomy in the semi-prone position for synchronous colorectal cancer with liver metastases.","/pubmed/24606532","Ida S, Oki E, Ando K, Kimura Y, Yamashita Y, Saeki H, Ikegami T, Yoshizumi T, Watanabe M, Morita M, Shirabe K, Kusumoto T, Ikeda T, Baba H, Maehara Y.","Asian J Endosc Surg. 2014 May;7(2):133-7. doi: 10.1111/ases.12098. Epub 2014 Mar 9.","Asian J Endosc Surg.  2014","PubMed","citation","PMID:24606532","pubmed","24606532","create date:2014/03/13 | first author:Ida S",
"Molecular and immunohistochemical profile of a basaloid (cloacogenic) carcinoma of the sigmoid colon: possible predictive value for clinical outcomes.","/pubmed/24584270","Gurzu S, Szentirmay Z, Bara T, Bara T Jr, Iurcsuk O, Jung I.","Eur J Gastroenterol Hepatol. 2014 May;26(5):570-3. doi: 10.1097/MEG.0000000000000064.","Eur J Gastroenterol Hepatol.  2014","PubMed","citation","PMID:24584270","pubmed","24584270","create date:2014/03/04 | first author:Gurzu S",
"Chemotherapy and targeted therapy for patients with initially unresectable colorectal liver metastases, focusing on conversion hepatectomy and long-term survival.","/pubmed/24570379","Beppu T, Miyamoto Y, Sakamoto Y, Imai K, Nitta H, Hayashi H, Chikamoto A, Watanabe M, Ishiko T, Baba H.","Ann Surg Oncol. 2014 Jun;21 Suppl 3:S405-13. doi: 10.1245/s10434-014-3577-x. Epub 2014 Feb 26.","Ann Surg Oncol.  2014","PubMed","citation","PMID:24570379","pubmed","24570379","create date:2014/02/27 | first author:Beppu T",
"Wnt3a expression is associated with MMP-9 expression in primary tumor and metastatic site in recurrent or stage IV colorectal cancer.","/pubmed/24564183","Lee MA, Park JH, Rhyu SY, Oh ST, Kang WK, Kim HN.","BMC Cancer. 2014 Feb 24;14:125. doi: 10.1186/1471-2407-14-125.","BMC Cancer.  2014","PubMed","citation","PMID:24564183 | PMCID:PMC3937452","pubmed","24564183","create date:2014/02/26 | first author:Lee MA",
"Retrospective analysis of clinical and pathologic risk factors in liver resection for hepatic colorectal metastases.","/pubmed/24516057","Zhou L, Zhag G, Tang T, Lian R, Wang W.","J Cancer Res Ther. 2013 Nov;9 Suppl:S178-82. doi: 10.4103/0973-1482.122521.","J Cancer Res Ther.  2013","PubMed","citation","PMID:24516057","pubmed","24516057","create date:2014/02/12 | first author:Zhou L",
