Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"[Correlation analysis between abundance of K-ras mutation in plasma free DNA and its correlation with clinical outcome and prognosis in patients with metastatic colorectal cancer].","/pubmed/24332053","Bai YQ, Liu XJ, Wang Y, Ge FJ, Zhao CH, Fu YL, Lin L, Xu JM.","Zhonghua Zhong Liu Za Zhi. 2013 Sep;35(9):666-71. Chinese. ","Zhonghua Zhong Liu Za Zhi.  2013","PubMed","citation","PMID:24332053","pubmed","24332053","create date:2013/12/18 | first author:Bai YQ",
"[Consideration of therapy for colorectal cancer with synchronous unresectable liver metastasis].","/pubmed/23980038","Zhu DX, Ren L, Xu JM.","Zhonghua Wei Chang Wai Ke Za Zhi. 2013 Aug;16(8):718-20. Chinese. ","Zhonghua Wei Chang Wai Ke Za Zhi.  2013","PubMed","citation","PMID:23980038","pubmed","23980038","create date:2013/08/28 | first author:Zhu DX",
"The role of KCNQ1 in mouse and human gastrointestinal cancers.","/pubmed/23975432","Than BL, Goos JA, Sarver AL, O'Sullivan MG, Rod A, Starr TK, Fijneman RJ, Meijer GA, Zhao L, Zhang Y, Largaespada DA, Scott PM, Cormier RT.","Oncogene. 2014 Jul 17;33(29):3861-8. doi: 10.1038/onc.2013.350. Epub 2013 Aug 26.","Oncogene.  2014","PubMed","citation","PMID:23975432 | PMCID:PMC3935979","pubmed","23975432","create date:2013/08/27 | first author:Than BL",
"A case of panitumumab-responsive metastatic rectal cancer initially refractory to cetuximab.","/pubmed/23904849","Kasagi Y, Oki E, Ando K, Kimura Y, Ikegami T, Saeki H, Morita M, Kusumoto T, Maehara Y.","Case Rep Oncol. 2013 Jul 20;6(2):382-6. doi: 10.1159/000353781. Print 2013 May.","Case Rep Oncol.  2013","PubMed","citation","PMID:23904849 | PMCID:PMC3728606","pubmed","23904849","create date:2013/08/02 | first author:Kasagi Y",
"Early detection of metachronous bile duct cancer in Lynch syndrome: report of a case.","/pubmed/23896635","Shigeyasu K, Tanakaya K, Nagasaka T, Aoki H, Fujiwara T, Sugano K, Ishikawa H, Yoshida T, Moriya Y, Furukawa Y, Goel A, Takeuchi H.","Surg Today. 2014 Oct;44(10):1975-81. doi: 10.1007/s00595-013-0669-3. Epub 2013 Jul 31.","Surg Today.  2014","PubMed","citation","PMID:23896635 | PMCID:PMC4162978","pubmed","23896635","create date:2013/07/31 | first author:Shigeyasu K",
"Panitumumab in combination with infusional oxaliplatin and oral capecitabine for conversion therapy in patients with colon cancer and advanced liver metastases. The MetaPan study.","/pubmed/23868516","Leone F, Artale S, Marino D, Cagnazzo C, Cascinu S, Pinto C, Fornarini G, Tampellini M, Di Fabio F, Sartore-Bianchi A, De Carlis L, Pugliese R, Capussotti L, Gioeni L, Siena S, Aglietta M.","Cancer. 2013 Oct 1;119(19):3429-35. doi: 10.1002/cncr.28223. Epub 2013 Jul 18.","Cancer.  2013","PubMed","citation","PMID:23868516","pubmed","23868516","create date:2013/07/23 | first author:Leone F",
"Diffuse intestinal ganglioneuromatosis in a child.","/pubmed/23701793","Matthews MA, Adler BH, Arnold MA, Kumar S, Carvalho R, Besner GE.","J Pediatr Surg. 2013 May;48(5):1129-33. doi: 10.1016/j.jpedsurg.2013.03.066.","J Pediatr Surg.  2013","PubMed","citation","PMID:23701793 | PMCID:PMC4076949","pubmed","23701793","create date:2013/05/25 | first author:Matthews MA",
"Hepatocellular adenoma associated with familial adenomatous polyposis coli.","/pubmed/23293720","Inaba K, Sakaguchi T, Kurachi K, Mori H, Tao H, Nakamura T, Takehara Y, Baba S, Maekawa M, Sugimura H, Konno H.","World J Hepatol. 2012 Nov 27;4(11):322-6. doi: 10.4254/wjh.v4.i11.322.","World J Hepatol.  2012","PubMed","citation","PMID:23293720 | PMCID:PMC3536841","pubmed","23293720","create date:2013/01/08 | first author:Inaba K",
"[A case of unresectable multiple hepatic metastases from ascending colon cancer successfully treated with panitumumab and FOLFIRI(5-FU/LV/irinotecan)therapy].","/pubmed/23064076","Yoshida R, Matsuura T, Hijikawa K, Yanagida H, Kitade H, Takada H, Kwon AH.","Gan To Kagaku Ryoho. 2012 Oct;39(10):1575-7. Japanese. ","Gan To Kagaku Ryoho.  2012","PubMed","citation","PMID:23064076","pubmed","23064076","create date:2012/10/16 | first author:Yoshida R",
"[Two cases of metastatic colorectal cancer in wild-type K-RAS effectively treated by panitumumab].","/pubmed/23064074","Ishiyama Y, Kotake M, Matsunaga M, Kitamura H, Yamamoto M, Inaki N, Kurokawa M, Bando H, Yamada T.","Gan To Kagaku Ryoho. 2012 Oct;39(10):1567-70. Japanese. ","Gan To Kagaku Ryoho.  2012","PubMed","citation","PMID:23064074","pubmed","23064074","create date:2012/10/16 | first author:Ishiyama Y",
"Overexpression of galectin-3 enhances migration of colon cancer cells related to activation of the K-Ras-Raf-Erk1/2 pathway.","/pubmed/23015305","Wu KL, Huang EY, Jhu EW, Huang YH, Su WH, Chuang PC, Yang KD.","J Gastroenterol. 2013 Mar;48(3):350-9. doi: 10.1007/s00535-012-0663-3. Epub 2012 Sep 27.","J Gastroenterol.  2013","PubMed","citation","PMID:23015305","pubmed","23015305","create date:2012/09/28 | first author:Wu KL",
"Different metastatic pattern according to the KRAS mutational status and site-specific discordance of KRAS status in patients with colorectal cancer.","/pubmed/22876814","Kim MJ, Lee HS, Kim JH, Kim YJ, Kwon JH, Lee JO, Bang SM, Park KU, Kim DW, Kang SB, Kim JS, Lee JS, Lee KW.","BMC Cancer. 2012 Aug 9;12:347. doi: 10.1186/1471-2407-12-347.","BMC Cancer.  2012","PubMed","citation","PMID:22876814 | PMCID:PMC3488475","pubmed","22876814","create date:2012/08/11 | first author:Kim MJ",
"Comparison of the chemosensitivity of the primary lesion and a pancreatic metastasis of colon cancer: a case report.","/pubmed/22493386","Tamagawa H, Miyagi Y, Numata M, Yamamoto N, Shiozawa M, Morinaga S, Sekiyama A, Sekiguchi H, Sakuma Y, Kameda Y, Akaike M, Masuda M, Imada T.","Anticancer Res. 2012 Apr;32(4):1457-61.","Anticancer Res.  2012","PubMed","citation","PMID:22493386","pubmed","22493386","create date:2012/04/12 | first author:Tamagawa H",
"Ileal metastasis of breast cancer in a patient with a BRCA2 gene mutation: report of a case.","/pubmed/21969203","Cho DH, Jeon YS, Choi MY, Lee SK, Kim SM, Hur SM, Koo MY, Bae SY, Choe JH, Kim JH, Kim JS, Nam SJ, Yang JH, Lee JE.","Surg Today. 2011 Dec;41(12):1665-9. doi: 10.1007/s00595-011-4503-5. Epub 2011 Oct 4.","Surg Today.  2011","PubMed","citation","PMID:21969203","pubmed","21969203","create date:2011/10/05 | first author:Cho DH",
"[Hereditary nonpolyposis colorectal cancer: analysis of a case and review of management].","/pubmed/21894727","Cubas Castillo R, Ballarino EA, Neirot P, Grasso RL.","Acta Gastroenterol Latinoam. 2011 Jun;41(2):137-41. Review. Spanish. ","Acta Gastroenterol Latinoam.  2011","PubMed","citation","PMID:21894727","pubmed","21894727","create date:2011/09/08 | first author:Cubas Castillo R",
"[Multimodal therapy for colon cancer: state of the art].","/pubmed/21863510","Weber T, Link KH.","Zentralbl Chir. 2011 Aug;136(4):325-33. doi: 10.1055/s-0031-1271562. Epub 2011 Aug 23. Review. German. ","Zentralbl Chir.  2011","PubMed","citation","PMID:21863510","pubmed","21863510","create date:2011/08/25 | first author:Weber T",
"FOLFOX plus cetuximab for a patient with metastatic colorectal cancer with icterus due to multiple liver metastases.","/pubmed/21772113","Mizota A, Shitara K, Kondo C, Nomura M, Yokota T, Takahari D, Ura T, Muro K.","Gan To Kagaku Ryoho. 2011 Jul;38(7):1205-8.","Gan To Kagaku Ryoho.  2011","PubMed","citation","PMID:21772113","pubmed","21772113","create date:2011/07/21 | first author:Mizota A",
"Modification and implementation of NCCN guidelines on colon cancer in the Middle East and North Africa region.","/pubmed/20697127","Içli F, Akbulut H, Bazarbashi S, Kuzu MA, Mallath MK, Rasul KI, Strong S, Syed AA, Zorlu F, Engstrom PF; MENA Colon Cancer Regional Guidelines Committee..","J Natl Compr Canc Netw. 2010 Jul;8 Suppl 3:S22-5.","J Natl Compr Canc Netw.  2010","PubMed","citation","PMID:20697127","pubmed","20697127","create date:2011/05/11 | first author:Içli F",
"A novel case of rhabdoid colon carcinoma associated with a positive CpG island methylator phenotype and BRAF mutation.","/pubmed/21315413","Pancione M, Di Blasi A, Sabatino L, Fucci A, Dalena AM, Palombi N, Carotenuto P, Aquino G, Daniele B, Normanno N, Colantuoni V.","Hum Pathol. 2011 Jul;42(7):1047-52. doi: 10.1016/j.humpath.2010.10.016. Epub 2011 Feb 11.","Hum Pathol.  2011","PubMed","citation","PMID:21315413","pubmed","21315413","create date:2011/02/15 | first author:Pancione M",
"KRAS mutation is associated with lung metastasis in patients with curatively resected colorectal cancer.","/pubmed/21239505","Tie J, Lipton L, Desai J, Gibbs P, Jorissen RN, Christie M, Drummond KJ, Thomson BN, Usatoff V, Evans PM, Pick AW, Knight S, Carne PW, Berry R, Polglase A, McMurrick P, Zhao Q, Busam D, Strausberg RL, Domingo E, Tomlinson IP, Midgley R, et al.","Clin Cancer Res. 2011 Mar 1;17(5):1122-30. doi: 10.1158/1078-0432.CCR-10-1720. Epub 2011 Jan 14.","Clin Cancer Res.  2011","PubMed","citation","PMID:21239505","pubmed","21239505","create date:2011/01/18 | first author:Tie J",
"[Efficacy of cetuximab combined with chemotherapy for patients with advanced colorectal cancer and unclear K-ras status].","/pubmed/21163071","Guo GF, Xia LP, Qiu HJ, Xu RH, Zhang B, Jiang WQ, Zhou FF, Wang F.","Zhonghua Zhong Liu Za Zhi. 2010 Oct;32(10):777-81. Chinese. ","Zhonghua Zhong Liu Za Zhi.  2010","PubMed","citation","PMID:21163071","pubmed","21163071","create date:2010/12/18 | first author:Guo GF",
"[Palliative chemotherapy for colorectal cancer--current state, significance, trends].","/pubmed/21154211","Stübs P, Habermann P, Wex C, Mohren M, Zierau K, Lippert H, Fahlke J.","Zentralbl Chir. 2010 Dec;135(6):535-40. doi: 10.1055/s-0030-1262701. Epub 2010 Dec 13. Review. German. ","Zentralbl Chir.  2010","PubMed","citation","PMID:21154211","pubmed","21154211","create date:2010/12/15 | first author:Stübs P",
"EGFR expression variance in paired colorectal cancer primary and metastatic tumors.","/pubmed/20595818","Yarom N, Marginean C, Moyana T, Gorn-Hondermann I, Birnboim HC, Marginean H, Auer RC, Vickers M, Asmis TR, Maroun J, Jonker D.","Cancer Biol Ther. 2010 Sep 1;10(5):416-21. Epub 2010 Sep 8.","Cancer Biol Ther.  2010","PubMed","citation","PMID:20595818","pubmed","20595818","create date:2010/07/03 | first author:Yarom N",
"Etk/Bmx regulates proteinase-activated-receptor1 (PAR1) in breast cancer invasion: signaling partners, hierarchy and physiological significance.","/pubmed/20559570","Cohen I, Maoz M, Turm H, Grisaru-Granovsky S, Maly B, Uziely B, Weiss E, Abramovitch R, Gross E, Barzilay O, Qiu Y, Bar-Shavit R.","PLoS One. 2010 Jun 15;5(6):e11135. doi: 10.1371/journal.pone.0011135. Erratum in: PLoS One. 2010;5(12) doi: 10.1371/annotation/7ed84180-ec3d-46c0-8c10-f7b830999f8d. ","PLoS One.  2010","PubMed","citation","PMID:20559570 | PMCID:PMC2886121","pubmed","20559570","create date:2010/06/19 | first author:Cohen I",
"Diagnosis of primary versus metastatic ovarian adenocarcinoma using p53 gene mutation analysis.","/pubmed/20514505","Yamano T, Morii E, Arai I, Takada T, Kubota K, Sato M, Inoue T, Okada Y, Hara T, Aozasa K.","Int J Clin Oncol. 2010 Dec;15(6):621-5. doi: 10.1007/s10147-010-0096-z. Epub 2010 Jun 1.","Int J Clin Oncol.  2010","PubMed","citation","PMID:20514505","pubmed","20514505","create date:2010/06/02 | first author:Yamano T",
"[Specific treatment situations in metastatic colorectal cancer].","/pubmed/20431307","Arnold D, Schmoll HJ, Lang H, Knoefel WT, Ridwelski K, Trarbach T, Staib L, Kirchner T, Geissler M, Seufferlein T, Amthauer H, Riess H, Schlitt HJ, Piso P.","Onkologie. 2010;33 Suppl 4:8-18. doi: 10.1159/000308447. Epub 2010 Apr 23. Review. German. ","Onkologie.  2010","PubMed","citation","PMID:20431307","pubmed","20431307","create date:2010/05/07 | first author:Arnold D",
"Cetuximab and circadian chronomodulated chemotherapy as salvage treatment for metastatic colorectal cancer (mCRC): safety, efficacy and improved secondary surgical resectability.","/pubmed/20401611","Lévi F, Karaboué A, Gorden L, Innominato PF, Saffroy R, Giacchetti S, Hauteville D, Guettier C, Adam R, Bouchahda M.","Cancer Chemother Pharmacol. 2011 Feb;67(2):339-48. doi: 10.1007/s00280-010-1327-8. Epub 2010 Apr 17.","Cancer Chemother Pharmacol.  2011","PubMed","citation","PMID:20401611","pubmed","20401611","create date:2010/04/20 | first author:Lévi F",
"Metastasis of colon cancer to the thyroid gland: a case diagnosed on fine-needle aspirate by a combined cytological, immunocytochemical, and molecular approach.","/pubmed/20213843","Cozzolino I, Malapelle U, Carlomagno C, Palombini L, Troncone G.","Diagn Cytopathol. 2010 Dec;38(12):932-5. doi: 10.1002/dc.21346.","Diagn Cytopathol.  2010","PubMed","citation","PMID:20213843","pubmed","20213843","create date:2010/03/10 | first author:Cozzolino I",
"Gastrointestinal stromal tumor of the digestive organs: a histopathologic study of 31 cases in a single Japanese institute.","/pubmed/20126584","Terada T.","Int J Clin Exp Pathol. 2009 Nov 25;3(2):162-8.","Int J Clin Exp Pathol.  2009","PubMed","citation","PMID:20126584 | PMCID:PMC2809996","pubmed","20126584","create date:2010/02/04 | first author:Terada T",
"[A case of liver metastasis treated by cetuximab monotherapy with partial response].","/pubmed/20037354","Murata K, Ide Y, Nagase H, Mukai R, Okada K, Ota H, Maruyama K, Yokouchi H, Hayashi M, Tanaka S, Oka A, Kinuta M.","Gan To Kagaku Ryoho. 2009 Nov;36(12):2155-7. Japanese. ","Gan To Kagaku Ryoho.  2009","PubMed","citation","PMID:20037354","pubmed","20037354","create date:2009/12/29 | first author:Murata K",
"Technique of right hemihepatectomy preserving ventral right anterior section guided by area of hepatic venous drainage.","/pubmed/19744462","Tanaka K, Matsumoto C, Takakura H, Matsuo K, Nagano Y, Endo I, Togo S, Shimada H, Bourquain H, Peitgen HO.","Surgery. 2010 Mar;147(3):450-8. doi: 10.1016/j.surg.2009.04.020.","Surgery.  2010","PubMed","citation","PMID:19744462","pubmed","19744462","create date:2009/09/12 | first author:Tanaka K",
"[Two cases of KRAS wild-type unresectable or recurrent colorectal cancer effectively treated by cetuximab after progression of prior chemotherapy].","/pubmed/19542725","Yoda Y, Yoshino T, Kadowaki S, Bando H, Okano S, Fukushima H, Fuse N, Tahara M, Doi T, Ohtsu A.","Gan To Kagaku Ryoho. 2009 Jun;36(6):1003-6. Japanese. ","Gan To Kagaku Ryoho.  2009","PubMed","citation","PMID:19542725","pubmed","19542725","create date:2009/06/23 | first author:Yoda Y",
"First-line combination treatment of colorectal cancer with hepatic metastases: choosing a targeted agent.","/pubmed/19101405","Lenz HJ.","Cancer Treat Rev. 2008;34 Suppl 2:S3-7. doi: 10.1016/S0305-7372(08)70002-1.","Cancer Treat Rev.  2008","PubMed","citation","PMID:19101405","pubmed","19101405","create date:2008/12/23 | first author:Lenz HJ",
"Urological malignancy as a complication of renal transplantation: a report of twelve clinical cases.","/pubmed/18365395","Zhou M, Zhu Y, Wang L, Wang Y, Fu S, Min Z.","Clin Transpl. 2006:395-8.","Clin Transpl.  2006","PubMed","citation","PMID:18365395","pubmed","18365395","create date:2008/03/28 | first author:Zhou M",
"Loss of Smad4 expression predicts liver metastasis in human colorectal cancer.","/pubmed/17390050","Losi L, Bouzourene H, Benhattar J.","Oncol Rep. 2007 May;17(5):1095-9.","Oncol Rep.  2007","PubMed","citation","PMID:17390050","pubmed","17390050","create date:2007/03/29 | first author:Losi L",
"Carcinosarcoma of the colon: report of a case with morphological, ultrastructural and molecular analysis.","/pubmed/16836749","Ambrosini-Spaltro A, Vaira V, Braidotti P, Rovati MP, Ferrero S, Bosari S.","BMC Cancer. 2006 Jul 12;6:185.","BMC Cancer.  2006","PubMed","citation","PMID:16836749 | PMCID:PMC1570146","pubmed","16836749","create date:2006/07/14 | first author:Ambrosini-Spaltro A",
"P53 mutation analysis of colorectal liver metastases: relation to actual survival, angiogenic status, and p53 overexpression.","/pubmed/15930341","de Jong KP, Gouw AS, Peeters PM, Bulthuis M, Menkema L, Porte RJ, Slooff MJ, van Goor H, van den Berg A.","Clin Cancer Res. 2005 Jun 1;11(11):4067-73.","Clin Cancer Res.  2005","PubMed","citation","PMID:15930341","pubmed","15930341","create date:2005/06/03 | first author:de Jong KP",
"[New orientations in the management of advanced, metastatic gastrointestinal stromal tumors (GIST): combination of surgery and systemic therapy with imatinib in a case of primary gastric location].","/pubmed/15832750","Catani M, De Milito R, Simi M.","Chir Ital. 2005 Jan-Feb;57(1):127-33. Italian. ","Chir Ital.  2005","PubMed","citation","PMID:15832750","pubmed","15832750","create date:2005/04/19 | first author:Catani M",
"[Current diagnostics and therapy for carcinomas of the biliary tree and gallbladder].","/pubmed/15765304","Wiedmann M, Schoppmeyer K, Witzigmann H, Hauss J, Mössner J, Caca K.","Z Gastroenterol. 2005 Mar;43(3):305-15. Review. German. ","Z Gastroenterol.  2005","PubMed","citation","PMID:15765304","pubmed","15765304","create date:2005/03/15 | first author:Wiedmann M",
"Allochronic overlapping malignancies after renal transplantation in a patient with p53 gene mutation: report of a case.","/pubmed/15108094","Kitayama T, Marubayashi S, Hayamizu K, Tashiro H, Ohdan H, Ikeda S, Okimoto T, Okajima M, Kataoka T, Sugino K, Asahara T, Fukuda Y, Dohi K.","Surg Today. 2004;34(5):473-6. Review.","Surg Today.  2004","PubMed","citation","PMID:15108094","pubmed","15108094","create date:2004/04/27 | first author:Kitayama T",
"Safety and growth suppressive effect of intra-hepatic arterial injection of AdCMV-p53 combined with CDDP to rat liver metastatic tumors.","/pubmed/14582698","Okimoto T, Yahata H, Itou H, Shinozaki K, Tanji H, Sakaguchi T, Asahara T.","J Exp Clin Cancer Res. 2003 Sep;22(3):399-406.","J Exp Clin Cancer Res.  2003","PubMed","citation","PMID:14582698","pubmed","14582698","create date:2003/10/30 | first author:Okimoto T",
"Pathology and diagnostic criteria of gastrointestinal stromal tumors (GISTs): a review.","/pubmed/12528772","Miettinen M, Majidi M, Lasota J.","Eur J Cancer. 2002 Sep;38 Suppl 5:S39-51. Review.","Eur J Cancer.  2002","PubMed","citation","PMID:12528772","pubmed","12528772","create date:2003/01/17 | first author:Miettinen M",
"A phase II trial of farnesyl protein transferase inhibitor SCH 66336, given by twice-daily oral administration, in patients with metastatic colorectal cancer refractory to 5-fluorouracil and irinotecan.","/pubmed/12176785","Sharma S, Kemeny N, Kelsen DP, Ilson D, O'Reilly E, Zaknoen S, Baum C, Statkevich P, Hollywood E, Zhu Y, Saltz LB.","Ann Oncol. 2002 Jul;13(7):1067-71.","Ann Oncol.  2002","PubMed","citation","PMID:12176785","pubmed","12176785","create date:2002/08/15 | first author:Sharma S",
"p53 mutation found to be a significant prognostic indicator in distal colorectal cancer.","/pubmed/11295071","Okubo R, Masuda H, Nemoto N.","Oncol Rep. 2001 May-Jun;8(3):509-14.","Oncol Rep.  2001","PubMed","citation","PMID:11295071","pubmed","11295071","create date:2001/04/11 | first author:Okubo R",
"Relevance of Ki-67 antigen expression and K-ras mutation in colorectal liver metastases.","/pubmed/11237496","Petrowsky H, Sturm I, Graubitz O, Kooby DA, Staib-Sebler E, Gog C, Köhne CH, Hillebrand T, Daniel PT, Fong Y, Lorenz M.","Eur J Surg Oncol. 2001 Feb;27(1):80-7.","Eur J Surg Oncol.  2001","PubMed","citation","PMID:11237496","pubmed","11237496","create date:2001/03/10 | first author:Petrowsky H",
"Specific mutation in exon 11 of c-kit proto-oncogene in a malignant gastrointestinal stromal tumor of the rectum.","/pubmed/11063223","Yamaguchi M, Miyaki M, Iijima T, Matsumoto T, Kuzume M, Matsumiya A, Endo Y, Sanada Y, Kumada K.","J Gastroenterol. 2000;35(10):779-83.","J Gastroenterol.  2000","PubMed","citation","PMID:11063223","pubmed","11063223","create date:2000/11/04 | first author:Yamaguchi M",
"[Mutation of APC gene in sporadic colorectal tumors].","/pubmed/10921028","Yu C, Wang J.","Zhonghua Zhong Liu Za Zhi. 1998 Sep;20(5):348-50. Chinese. ","Zhonghua Zhong Liu Za Zhi.  1998","PubMed","citation","PMID:10921028","pubmed","10921028","create date:2000/08/02 | first author:Yu C",
"Molecular detection of neoplastic cells in lymph nodes of metastatic colorectal cancer patients predicts recurrence.","/pubmed/10499618","Sanchez-Cespedes M, Esteller M, Hibi K, Cope FO, Westra WH, Piantadosi S, Herman JG, Jen J, Sidransky D.","Clin Cancer Res. 1999 Sep;5(9):2450-4.","Clin Cancer Res.  1999","PubMed","citation","PMID:10499618","pubmed","10499618","create date:1999/09/28 | first author:Sanchez-Cespedes M",
"[A case of hepatic metastasis of rectal cancer with familial adenomatous polyposis treated by transarterial administration of low-dose leucovorin and 5-FU].","/pubmed/9492838","Ishii Y, Wakayama H, Nakayama K, Ami K, Iida M, Hotta M, Oota K, Yamazaki S, Takahashi M.","Gan To Kagaku Ryoho. 1998 Feb;25(3):419-22. Japanese. ","Gan To Kagaku Ryoho.  1998","PubMed","citation","PMID:9492838","pubmed","9492838","create date:1998/03/11 | first author:Ishii Y",
"Microsatellite instability in sporadic-colon-cancer patients with and without liver metastases.","/pubmed/9291442","Chen WS, Chen JY, Liu JM, Lin WC, King KL, Whang-Peng J, Yang WK.","Int J Cancer. 1997 Aug 22;74(4):470-4.","Int J Cancer.  1997","PubMed","citation","PMID:9291442","pubmed","9291442","create date:1997/08/22 | first author:Chen WS",
"Orthotopic xenografts of human pancreatic carcinomas acquire genetic aberrations during dissemination in nude mice.","/pubmed/8971180","Reyes G, Villanueva A, García C, Sancho FJ, Piulats J, Lluís F, Capellá G.","Cancer Res. 1996 Dec 15;56(24):5713-9.","Cancer Res.  1996","PubMed","citation","PMID:8971180","pubmed","8971180","create date:1996/12/15 | first author:Reyes G",
"Hepatoblastoma and APC gene mutation in familial adenomatous polyposis.","/pubmed/9038672","Giardiello FM, Petersen GM, Brensinger JD, Luce MC, Cayouette MC, Bacon J, Booker SV, Hamilton SR.","Gut. 1996 Dec;39(6):867-9.","Gut.  1996","PubMed","citation","PMID:9038672 | PMCID:PMC1383462","pubmed","9038672","create date:1996/12/01 | first author:Giardiello FM",
"Double cancer in a 74-year-old woman: a case report with genetic findings.","/pubmed/8804161","Katada F, Murakami K, Uzuki M, Horii A.","Tohoku J Exp Med. 1996 Apr;178(4):437-45.","Tohoku J Exp Med.  1996","PubMed","citation","PMID:8804161","pubmed","8804161","create date:1996/04/01 | first author:Katada F",
"Mutation analysis of K-ras oncogenes in gastroenterologic cancers by the amplified created restriction sites method.","/pubmed/8249918","Lin SY, Chen PH, Wang CK, Liu JD, Siauw CP, Chen YJ, Yang MJ, Liu MH, Chen TC, Chang JG.","Am J Clin Pathol. 1993 Dec;100(6):686-9.","Am J Clin Pathol.  1993","PubMed","citation","PMID:8249918","pubmed","8249918","create date:1993/12/01 | first author:Lin SY",
"Hot spots"" mutation analysis of p53 gene in gastrointestinal cancers by amplification of naturally occurring and artificially created restriction sites.","/pubmed/7691445","Chen PH, Lin SY, Wang CK, Chen YJ, Chen TC, Chang JG.","Clin Chem. 1993 Oct;39(10):2186-91.","Clin Chem.  1993","PubMed","citation","PMID:7691445","pubmed","7691445","create date:1993/10/01 | first author:Chen PH",
