Title,Description,ShortDetails,Identifiers,EntrezUID
Isolated metastasis of colon cancer to the scapula: is surgical resection warranted?,"Onesti JK, Mascarenhas CR, Chung MH, Davis AT.",World J Surg Oncol.  2011,PMID:22029634 | PMCID:PMC3222610,22029634
Utilization of laparoscopy in colorectal surgery for cancer at academic medical centers: does site of surgery affect rate of laparoscopy?,"Carmichael JC, Masoomi H, Mills S, Stamos MJ, Nguyen NT.",Am Surg.  2011,PMID:22127074,22127074
Single-incision laparoscopic colectomy for cancer: assessment of oncologic resection and short-term outcomes in a case-matched comparison with standard laparoscopy.,"Papaconstantinou HT, Thomas JS.",Surgery.  2011,PMID:22000196,22000196
Primary follicular lymphoma of the gastrointestinal tract.,"Misdraji J, Harris NL, Hasserjian RP, Lauwers GY, Ferry JA.",Am J Surg Pathol.  2011,PMID:21836483,21836483
Additional prognostic factors in right colon cancer staging.,"Parmeggiani D, Avenia N, Gubitosi A, Gilio F, Atelli PF, Agresti M.",Updates Surg.  2011,PMID:21698423,21698423
[Application of colonic interposition in the digestive tract reconstruction after esophagectomy].,"PENG L, HAN YT, WANG X, XIAO WG, FANG Q, LI Q, CHEN LH.",Zhonghua Wei Chang Wai Ke Za Zhi.  2011,PMID:21948535,21948535
Outcome of right- and left-sided colonic and rectal cancer following surgical resection.,"Suttie SA, Shaikh I, Mullen R, Amin AI, Daniel T, Yalamarthi S.",Colorectal Dis.  2011,PMID:20594201,20594201
Reporting and validation of gynaecological Groupe Euopeen de Curietherapie European Society for Therapeutic Radiology and Oncology (ESTRO) brachytherapy recommendations for MR image-based dose volume parameters and clinical outcome with high dose-rate brachytherapy in cervical cancers: a single-inst...,"Mahantshetty U, Swamidas J, Khanna N, Engineer R, Merchant NH, Deshpande DD, Shrivastava S.",Int J Gynecol Cancer.  2011,PMID:21633296,21633296
Primary colorectal lymphoma: case series and literature review.,"She WH, Day W, Lau PY, Mak KL, Yip AW.",Asian J Surg.  2011,PMID:22208685,22208685
"[Colorectal cancer--clinical course, epidemiologic and pathologic aspects].","Dumitrescu A, Bălan G.",Rev Med Chir Soc Med Nat Iasi.  2011,PMID:22046773,22046773
Variations in demography and prognosis by colon cancer location.,"Derwinger K, Gustavsson B.",Anticancer Res.  2011,PMID:21737663,21737663
Matrix metalloproteinase-2 and -7 expression in colorectal cancer.,"Hong SW, Kang YK, Lee B, Lee WY, Jang YG, Paik IW, Lee H.",J Korean Soc Coloproctol.  2011,PMID:21829768 | PMCID:PMC3145884,21829768
Influence of A9 region mutation in EphB2 gene in the prognosis of patients with colorectal adenocarcinoma.,"Vidaurreta M, Rafael S, Veganzones S, de la Orden V, Fernández C, Gómez-Casaseca R, Cerdán J, Maestro M.",Ann Surg Oncol.  2011,PMID:21161727,21161727
Pre-diagnostic NSAID use but not hormone therapy is associated with improved colorectal cancer survival in women.,"Coghill AE, Newcomb PA, Chia VM, Zheng Y, Wernli KJ, Passarelli MN, Potter JD.",Br J Cancer.  2011,PMID:21304527 | PMCID:PMC3048198,21304527
"Trends, patterns, and outcomes in the management of malignant colonic polyps in the general population of the United States.","Wasif N, Etzioni D, Maggard MA, Tomlinson JS, Ko CY.",Cancer.  2011,PMID:20960490,20960490
A role of 18F-fluorodeoxyglucose positron emission/computed tomography in a strategy for abdominal wall metastasis of colorectal mucinous adenocarcinoma developed after laparoscopic surgery.,"Funahashi K, Ushigome M, Kaneko H.",World J Surg Oncol.  2011,PMID:21352607 | PMCID:PMC3060139,21352607
Predictors of outcome following surgery in colonic perforation: an institution's experience over 6 years.,"Tan KK, Hong CC, Zhang J, Liu JZ, Sim R.",J Gastrointest Surg.  2011,PMID:20824374,20824374
Analysis of the prognostic effectiveness of a multivisceral resection for locally advanced colorectal cancer.,"Park S, Lee YS.",J Korean Soc Coloproctol.  2011,PMID:21431093 | PMCID:PMC3053497,21431093
A feasibility and dosimetric evaluation of endoscopic radiofrequency ablation for human colonic and rectal epithelium in a treat and resect trial.,"Trunzo JA, McGee MF, Poulose BK, Willis JE, Ermlich B, Laughinghouse M, Champagne BJ, Delaney CP, Marks JM.",Surg Endosc.  2011,PMID:20652324,20652324
Robotic and laparoscopic total mesorectal excision for rectal cancer: a case-matched study.,"Baek JH, Pastor C, Pigazzi A.",Surg Endosc.  2011,PMID:20607559,20607559
"Pathogenesis, diagnosis and management of primary melanoma of the colon.","Khalid U, Saleem T, Imam AM, Khan MR.",World J Surg Oncol.  2011,PMID:21284888 | PMCID:PMC3040702,21284888
Adult large bowel obstruction: a review of clinical experience.,"Sule AZ, Ajibade A.",Ann Afr Med.  2011,PMID:21311156,21311156
Significance of lymph node retrieval from the terminal ileum for patients with cecal and ascending colonic cancers.,"Lan YT, Lin JK, Jiang JK, Chang SC, Liang WY, Yang SH.",Ann Surg Oncol.  2011,PMID:20734151,20734151
Laparoscopic colectomy for colonic neoplasms in a developing country.,"Plummer JM, Mitchell DI, Arthurs M, Leake PA, Deans-Minott J, Cawich SO, Martin A.",Int J Surg.  2011,PMID:21419240,21419240
[The place of Hartmann's resections for some advanced distal rectal cancers].,Damianov N.,Khirurgiia (Sofiia).  2011,PMID:23844461,23844461
Utilization of murine colonoscopy for orthotopic implantation of colorectal cancer.,"Zigmond E, Halpern Z, Elinav E, Brazowski E, Jung S, Varol C.",PLoS One.  2011,PMID:22174916 | PMCID:PMC3236220,22174916
Risk factors and outcomes for anastomotic leakage in colorectal surgery: a single-institution analysis of 1576 patients.,"Boccola MA, Buettner PG, Rozen WM, Siu SK, Stevenson AR, Stitz R, Ho YH.",World J Surg.  2011,PMID:20972678,20972678
[Factors associated with complications in patients undergoing surgery for obstructing colorectal cancer].,"Jiang Y, Wang X, Wan YL, Li S, Wu T, Pan YS, Tang JQ, Liu YC.",Zhonghua Wei Chang Wai Ke Za Zhi.  2011,PMID:21271381,21271381
Minimally invasive sequential treatment of synchronous colorectal liver metastases by laparoscopic colectomy and robotic right hepatectomy.,"Giulianotti PC, Giacomoni A, Coratti A, Addeo P, Bianco FM.",Int J Colorectal Dis.  2010,PMID:20623230,20623230
Metastatic tumors in the pancreas in the modern era.,"Konstantinidis IT, Dursun A, Zheng H, Wargo JA, Thayer SP, Fernandez-del Castillo C, Warshaw AL, Ferrone CR.",J Am Coll Surg.  2010,PMID:21109158 | PMCID:PMC3135384,21109158
Long-term effect of aspirin on colorectal cancer incidence and mortality: 20-year follow-up of five randomised trials.,"Rothwell PM, Wilson M, Elwin CE, Norrving B, Algra A, Warlow CP, Meade TW.",Lancet.  2010,PMID:20970847,20970847
Endoscopic mucosal resection of colorectal polyps in typical UK hospitals.,"Lim TR, Mahesh V, Singh S, Tan BH, Elsadig M, Radhakrishnan N, Conlong P, Babbs C, George R.",World J Gastroenterol.  2010,PMID:21072895 | PMCID:PMC2980681,21072895
Outcome after surgical resection of isolated metastases to the pancreas.,"Akashi Y, Saiura A, Kishi Y, Koga R, Morimura R, Yoshioka R, Yamamoto J, Yamaguchi T.",Hepatogastroenterology.  2010,PMID:21443119,21443119
Proximal tumors are associated with greater mortality in colon cancer.,Wong R.,J Gen Intern Med.  2010,PMID:20652758 | PMCID:PMC2947632,20652758
Optimizing colonic cancer surgery: high ligation and complete mesocolic excision during right hemicolectomy.,Pramateftakis MG.,Tech Coloproctol.  2010,PMID:20697925,20697925
Close distal margin and rectal cancer recurrence after sphincter-preserving rectal resection.,"Nash GM, Weiss A, Dasgupta R, Gonen M, Guillem JG, Wong WD.",Dis Colon Rectum.  2010,PMID:20847617,20847617
The reduction in colorectal cancer mortality after colonoscopy varies by site of the cancer.,"Singh H, Nugent Z, Demers AA, Kliewer EV, Mahmud SM, Bernstein CN.",Gastroenterology.  2010,PMID:20600026,20600026
Marked variations in proximal colon cancer survival by race/ethnicity within the United States.,Wong RJ.,J Clin Gastroenterol.  2010,PMID:19996985,19996985
Colorectal cancer complicating inflammatory bowel disease: similarities and differences between Crohn's and ulcerative colitis based on three decades of experience.,"Kiran RP, Khoury W, Church JM, Lavery IC, Fazio VW, Remzi FH.",Ann Surg.  2010,PMID:20622662,20622662
Surgery for perforated colorectal malignancy in an Asian population: an institution's experience over 5 years.,"Tan KK, Hong CC, Zhang J, Liu JZ, Sim R.",Int J Colorectal Dis.  2010,PMID:20390285,20390285
Local excision following pre-operative chemoradiotherapy-induced downstaging for selected cT3 distal rectal cancer.,"Yeo SG, Kim DY, Kim TH, Kim SY, Chang HJ, Park JW, Choi HS, Oh JH.",Jpn J Clin Oncol.  2010,PMID:20457724,20457724
Prognostic value of MDCT in malignant large-bowel obstructions.,"Angelelli G, Moschetta M, Binetti F, Cosmo T, Stabile Ianora AA.",Radiol Med.  2010,PMID:20177982,20177982
[Right- and left-sided colonic cancer - different tumour entities].,"Benedix F, Meyer F, Kube R, Gastinger I, Lippert H.",Zentralbl Chir.  2010,PMID:20806133,20806133
"[Clinicopathologic features, diagnosis and treatment of 38 neuroendocrine carcinoma in the digestive system].","Chen CQ, Chen HL, Cai SR, Wang Z, Ma JP, Zhang CH, He YL.",Zhonghua Wei Chang Wai Ke Za Zhi.  2010,PMID:20737310,20737310
Pancreatic metastasis from colon carcinoma nine years after a hemicolectomy managed by distal pancreatectomy. A review of the literature regarding the role and outcome of pancreatic resection for colorectal metastasis.,"Machado NO, Chopra PJ, Al Hamdani A.",JOP.  2010,PMID:20601814,20601814
Carcinoma obstruction of the proximal colon cancer and long-term prognosis--obstruction is a predictor of worse outcome in TNM stage II tumor.,"Chin CC, Wang JY, Changchien CR, Huang WS, Tang R.",Int J Colorectal Dis.  2010,PMID:20135321,20135321
Laparoscopic colectomy: does the learning curve extend beyond colorectal surgery fellowship?,"Waters JA, Chihara R, Moreno J, Robb BW, Wiebke EA, George VV.",JSLS.  2010,PMID:21333183 | PMCID:PMC3041026,21333183
"Clinicopathologic characteristics, surgical treatment and outcomes for splenic flexure colon cancer.","Kim CW, Shin US, Yu CS, Kim JC.",Cancer Res Treat.  2010,PMID:20622960 | PMCID:PMC2901086,20622960
Primary gastrointestinal non-Hodgkin lymphoma in adults: clinicopathologic and survival characteristics.,"Radić-Kristo D, Planinc-Peraica A, Ostojić S, Vrhovac R, Kardum-Skelin I, Jaksić B.",Coll Antropol.  2010,PMID:20698111,20698111
Primary colorectal lymphoma.,"Musallam KM, Hatoum HA, Barada K, Taher AT, Salem ME, Malek EM, Shamseddine AI.",Med Oncol.  2010,PMID:19301158,19301158
Severe complications limit long-term clinical success of self-expanding metal stents in patients with obstructive colorectal cancer.,"Fernández-Esparrach G, Bordas JM, Giráldez MD, Ginès A, Pellisé M, Sendino O, Martínez-Pallí G, Castells A, Llach J.",Am J Gastroenterol.  2010,PMID:19935785,19935785
Oncologic outcomes of robotic-assisted total mesorectal excision for the treatment of rectal cancer.,"Baek JH, McKenzie S, Garcia-Aguilar J, Pigazzi A.",Ann Surg.  2010,PMID:20395863,20395863
Difference between proximal and distal microsatellite-unstable sporadic colorectal cancers: analysis of clinicopathological and molecular features and prognoses.,"Kim YH, Min BH, Kim SJ, Choi HK, Kim KM, Chun HK, Lee H, Kim JY, Chang DK, Son HJ, Rhee PL, Rhee JC, Kim JJ.",Ann Surg Oncol.  2010,PMID:20049642,20049642
Combined resection of the liver and pancreas for malignancy.,"Hemming AW, Magliocca JF, Fujita S, Kayler LK, Hochwald S, Zendejas I, Kim RD.",J Am Coll Surg.  2010,PMID:20421055,20421055
Differences between right- and left-sided colon carcinomas.,"Tentes AA, Korakianitis OS, Kakolyris S, Veliovits D, Fotakis S, Kouyioumtzi I, Kyziridis D.",J BUON.  2010,PMID:20658723,20658723
Enhanced acute apoptotic response to azoxymethane-induced DNA damage in the rodent colonic epithelium by Tyrian purple precursors: a potential colorectal cancer chemopreventative.,"Westley CB, McIver CM, Abbott CA, Le Leu RK, Benkendorff K.",Cancer Biol Ther.  2010,PMID:20150770,20150770
En bloc pancreaticoduodenectomy and right hemicolectomy to treat locally advanced right colon cancer: report of three cases.,"Costa SR, Horta SH, Henriques AC, Waisberg J, Speranzini MB.",Einstein (Sao Paulo).  2010,PMID:26761760,26761760
Use of self-expandable stents for obstructive distal and proximal large bowel cancer: a retrospective study in a single centre.,"Al Samaraee A, Fasih T, Hayat M.",J Gastrointest Cancer.  2010,PMID:19967471,19967471
Apical lymph nodes at the root of the inferior mesenteric artery in distal colorectal cancer: an analysis of the risk of tumor involvement and the impact of high ligation on anastomotic integrity.,"Alici A, Kement M, Gezen C, Akin T, Vural S, Okkabaz N, Basturk E, Yegenoglu A, Oncel M.",Tech Coloproctol.  2010,PMID:20066459,20066459
Surgery for obstructed colorectal malignancy in an Asian population: predictors of morbidity and comparison between left- and right-sided cancers.,"Tan KK, Sim R.",J Gastrointest Surg.  2010,PMID:19894082,19894082
Protection from right- and left-sided colorectal neoplasms after colonoscopy: population-based study.,"Brenner H, Hoffmeister M, Arndt V, Stegmaier C, Altenhofen L, Haug U.",J Natl Cancer Inst.  2010,PMID:20042716,20042716
Clinical and pathology characteristics of colorectal polyps in Iranian population.,"Hodadoostan MK, Reza F, Elham M, Mohammad Alizade AH, Molaie M, Mashaiekhy R, Doagoo SZ, Moosavy M, Malek FN, Zali MR.",Asian Pac J Cancer Prev.  2010,PMID:20843151,20843151
Beta-catenin and E-cadherin tissue "content" as prognostic markers in left-side colorectal cancer.,"Martinez NP, Kanno DT, Pereira JA, Cardinalli IA, Priolli DG.",Cancer Biomark.  2010,PMID:22012768,22012768
Isolated ileocolic artery occlusion presented with segmental bowel infarction: a case report.,"El Hennawy HM, Abdalla MF, El-Osta A, Bedair EM.",Cases J.  2009,PMID:20062670 | PMCID:PMC2803950,20062670
Totally laparoscopic sigmoid colectomy: a simple and safe technique for intracorporeal anastomosis.,"Akamatsu H, Omori T, Oyama T, Tori M, Ueshima S, Nakahara M, Abe T, Nishida T.",Surg Endosc.  2009,PMID:19266229,19266229
Colonic carcinoid tumors: a clinicopathologic study of 23 patients from a single institution.,"Waisberg DR, Fava AS, Martins LC, Matos LL, Franco MI, Waisberg J.",Arq Gastroenterol.  2009,PMID:20232008,20232008
Unusual presentation of pheochromocytoma with ischemic sigmoid colitis and stenosis.,"Tan F, Thai AC, Cheah WK, Mukherjee JJ.",South Med J.  2009,PMID:19738530,19738530
Role of self-expanding metallic stents in the management of malignant obstruction of the proximal colon.,"Dronamraju SS, Ramamurthy S, Kelly SB, Hayat M.",Dis Colon Rectum.  2009,PMID:19690497,19690497
Safety of gastric resections during cytoreductive surgery and hyperthermic intraperitoneal chemotherapy for peritoneal carcinomatosis.,"Piso P, Slowik P, Popp F, Dahlke MH, Glockzin G, Schlitt HJ.",Ann Surg Oncol.  2009,PMID:19408049,19408049
"Demographics, pathologic patterns and long-term survival in operable colon cancers: local experience in Pakistan.","Shaikh AJ, Raza S, Shaikh AA, Idress R, Kumar S, Rasheed YA, Lal A, Masood N.",Asian Pac J Cancer Prev.  2009,PMID:19640173,19640173
The MTHFR C677T and DeltaDNMT3B C-149T polymorphisms confer different risks for right- and left-sided colorectal cancer.,"Iacopetta B, Heyworth J, Girschik J, Grieu F, Clayforth C, Fritschi L.",Int J Cancer.  2009,PMID:19326430,19326430
Metastasis to the pancreas from colorectal cancer: is there a place for pancreatic resection?,"Sperti C, Pasquali C, Berselli M, Frison L, Vicario G, Pedrazzoli S.",Dis Colon Rectum.  2009,PMID:19581861,19581861
Primary resection and side-to-end anastomosis next to an end-colostomy in the management of acute malignant obstruction of the left bowel: an alternative in selected patients.,"Meijer WS, Vermeulen J, Gosselink MP.",Tech Coloproctol.  2009,PMID:19484348,19484348
Incidence of right-sided colorectal cancer after breast cancer: a population-based study.,"Tang LY, Nugent Z, Demers AA, Singh H.",Am J Gastroenterol.  2009,PMID:19319130,19319130
"En bloc mobilization of the pancreas and spleen to facilitate resection of large tumors, primarily renal and adrenal, in the left upper quadrant of the abdomen: techniques derived from multivisceral transplantation.","Ciancio G, Vaidya A, Shirodkar S, Manoharan M, Hakky T, Soloway M.",Eur Urol.  2009,PMID:19167808,19167808
Necessity of preoperative imaging of the gastro-epiploic arcade prior to esophageal resection.,"Gockel I, Lang H, Mildenberger P.",Hepatogastroenterology.  2009,PMID:19621687,19621687
En-bloc pancreatoduodenectomy and right hemicolectomy for treating locally advanced right colon cancer (T4): a series of five patients.,"Costa SR, Henriques AC, Horta SH, Waisberg J, Speranzini MB.",Arq Gastroenterol.  2009,PMID:19578618,19578618
Brain metastases in colorectal cancers.,"Tan WS, Ho KS, Eu KW.",World J Surg.  2009,PMID:19194739,19194739
[Case report--surgical therapy of a retroperitoneal liposarcoma weighing 45 kg].,"Benseler V, Obed A, Schubert T, Schlitt HJ, Bolder U.",Zentralbl Chir.  2009,PMID:19294618,19294618
"Colorectal cancer, one entity or three.","Li FY, Lai MD.",J Zhejiang Univ Sci B.  2009,PMID:19283877 | PMCID:PMC2650032,19283877
Colorectal cancer risk prediction tool for white men and women without known susceptibility.,"Freedman AN, Slattery ML, Ballard-Barbash R, Willis G, Cann BJ, Pee D, Gail MH, Pfeiffer RM.",J Clin Oncol.  2009,PMID:19114701 | PMCID:PMC2645090,19114701
Primary tumour resection and survival in the palliative management of metastatic colorectal cancer.,"Bajwa A, Blunt N, Vyas S, Suliman I, Bridgewater J, Hochhauser D, Ledermann JA, O'Bichere A.",Eur J Surg Oncol.  2009,PMID:18644695,18644695
Capecitabine and irinotecan with and without bevacizumab for advanced colorectal cancer patients.,"Moehler M, Sprinzl MF, Abdelfattah M, Schimanski CC, Adami B, Godderz W, Majer K, Flieger D, Teufel A, Siebler J, Hoehler T, Galle PR, Kanzler S.",World J Gastroenterol.  2009,PMID:19152449 | PMCID:PMC2653366,19152449
Survival of distinct Asian groups among colorectal cancer cases in California.,"Le H, Ziogas A, Taylor TH, Lipkin SM, Zell JA.",Cancer.  2009,PMID:19109815 | PMCID:PMC4042844,19109815
Association of colonoscopy and death from colorectal cancer.,"Baxter NN, Goldwasser MA, Paszat LF, Saskin R, Urbach DR, Rabeneck L.",Ann Intern Med.  2009,PMID:19075198,19075198
[Abstract: case report of isolated metastasis to the spleen in a patient operated due to cancer of the sigmoid colon].,"Kulig J, Matyja A, Kowalewski M, Kratochwil M.",Folia Med Cracov.  2009,PMID:21853873,21853873
[Can lymph node dissection for rectal cancer ever be omitted?].,"Leblanc F, Laurent C, Rullier E.",J Chir (Paris).  2008,PMID:19194357,19194357
Surgeon volume does not predict outcomes in the setting of technical credentialing: results from a randomized trial in colon cancer.,"Larson DW, Marcello PW, Larach SW, Wexner SD, Park A, Marks J, Senagore AJ, Thorson AG, Young-Fadok TM, Green E, Sargent DJ, Nelson H.",Ann Surg.  2008,PMID:18948801,18948801
Feasibility of laparoscopic D3 lymphadenectomy for male rectosigmoid cancer with clinically positive lymph nodes.,"Liang JT, Huang KC, Lai HS, Lee PH, Sun CT.",Surg Endosc.  2008,PMID:18288527,18288527
Preservation of the continence function after intersphincteric resection using a prolapsing technique in the patients with low rectal cancer and its clinical prognosis.,"Dai Y, Jiang JB, Bi DS, Jin ZT, Sun JZ, Hu SY.",Chin Med J (Engl).  2008,PMID:19080267,19080267
"Association of colorectal carcinoma with metabolic diseases; experience with 138 cases from Kelantan, Malaysia.","Othman NH, Zin AA.",Asian Pac J Cancer Prev.  2008,PMID:19256771,19256771
Two cases of acrometastasis to the hands and review of the literature.,"Flynn CJ, Danjoux C, Wong J, Christakis M, Rubenstein J, Yee A, Yip D, Chow E.",Curr Oncol.  2008,PMID:19008991 | PMCID:PMC2582515,19008991
[Subtotal or total colectomy as surgical treatment of left-sided occlusive colon cancer].,"Tohmé C, Chakhtoura G, Abboud B, Noun R, Sarkis R, Ingea H, Farah P, Ghossain A.",J Med Liban.  2008,PMID:19115592,19115592
Is there a difference in survival between right- versus left-sided colon cancers?,"Meguid RA, Slidell MB, Wolfgang CL, Chang DC, Ahuja N.",Ann Surg Oncol.  2008,PMID:18622647 | PMCID:PMC3072702,18622647
Defunctioning loop ileostomy with low anterior resection for distal rectal cancer: should we make an ileostomy as a routine procedure? A prospective randomized study.,"Chude GG, Rayate NV, Patris V, Koshariya M, Jagad R, Kawamoto J, Lygidakis NJ.",Hepatogastroenterology.  2008,PMID:19102343,19102343
Spinal anaesthesia with a micro-catheter in high-risk patients undergoing colorectal cancer and other major abdominal surgery.,"Kumar CM, Corbett WA, Wilson RG.",Surg Oncol.  2008,PMID:18035540,18035540
[Primary colorectal lymphoma of diffuse large B-cells: an experience at a general hospital].,"Beltran Gárate B, Morales Luna D, Quiñones Avila P, Hurtado de Mendoza F, Riva Gonzales L, Yabar A, Portugal Meza K.",Rev Gastroenterol Peru.  2008,PMID:18958138,18958138
[Prognostic factors of colorectal carcinoma in the elderly after radical surgery].,"Liang JW, Bai XF, Zhou ZX, Zhao DB, Wang CF, Zhao P.",Zhonghua Yi Xue Za Zhi.  2008,PMID:18953852,18953852
Improved survival in young women with colorectal cancer.,"Koo JH, Jalaludin B, Wong SK, Kneebone A, Connor SJ, Leong RW.",Am J Gastroenterol.  2008,PMID:18510616,18510616
Clinicopathological significance of PTEN loss and the phosphoinositide 3-kinase/Akt pathway in sporadic colorectal neoplasms: is PTEN loss predictor of local recurrence?,"Colakoglu T, Yildirim S, Kayaselcuk F, Nursal TZ, Ezer A, Noyan T, Karakayali H, Haberal M.",Am J Surg.  2008,PMID:18440486,18440486
Colorectal cancer in the elderly. Is there a role for safe and curative surgery?,"Basili G, Lorenzetti L, Biondi G, Preziuso E, Angrisano C, Carnesecchi P, Roberto E, Goletti O.",ANZ J Surg.  2008,PMID:18522567,18522567
"Gender differences in colorectal cancer incidence, mortality, hospitalizations and surgical procedures in Canada.","Gao RN, Neutel CI, Wai E.",J Public Health (Oxf).  2008,PMID:18445612,18445612
Two-step surgery for synchronous bilobar liver metastases from digestive endocrine tumors: a safe approach for radical resection.,"Kianmanesh R, Sauvanet A, Hentic O, Couvelard A, Lévy P, Vilgrain V, Ruszniewski P, Belghiti J.",Ann Surg.  2008,PMID:18362629,18362629
Clinical outcome of the laparoscopic surgery for stage II and III colorectal cancer.,"Naitoh T, Tsuchiya T, Honda H, Oikawa M, Saito Y, Hasegawa Y.",Surg Endosc.  2008,PMID:17705076,17705076
Primary colonic lymphoma.,"Gonzalez QH, Heslin MJ, Dávila-Cervantes A, Alvarez-Tostado J, de los Monteros AE, Shore G, Vickers SM.",Am Surg.  2008,PMID:18376684,18376684
Laparoscopy-assisted endoscopic mucosal resection in the colon: a preliminary report.,"Filograna MA, Lattarulo S, Pezzolla A, Fabiano G, Palasciano N, Ugenti I.",Chir Ital.  2008,PMID:18689179,18689179
Retroperitoneal margin involvement by adenocarcinoma of the caecum and ascending colon: what does it mean?,"Scott N, Jamali A, Verbeke C, Ambrose NS, Botterill ID, Jayne DG.",Colorectal Dis.  2008,PMID:17764533,17764533
Early closure of a multicenter randomized clinical trial of endoscopic stenting versus surgery for stage IV left-sided colorectal cancer.,"van Hooft JE, Fockens P, Marinelli AW, Timmer R, van Berkel AM, Bossuyt PM, Bemelman WA; Dutch Colorectal Stent Group..",Endoscopy.  2008,PMID:18322873,18322873
Self-expanding metallic stent insertion in the proximal colon.,"Elsberger B, Rourke K, Brush J, Glancy S, Collie M.",Colorectal Dis.  2008,PMID:17784867,17784867
One-stage treatment of left-sided large bowel emergencies.,"Sule AZ, Misauno M, Opaluwa AS, Ojo E.",East Afr Med J.  2008,PMID:18557251,18557251
Effects of high and low ligation on survival in patients operated for colorectal cancer.,"Candela G, Di Libero L, Varriale S, Manetta F, Giordano M, Maschio A, Argenziano G, Pizza A, Sciascia V, Napolitano S, Santini L.",Chir Ital.  2008,PMID:18389750,18389750
The nature of local recurrence after colorectal cancer resection.,"Thomson WH, Foy CJ, Longman RJ.",Colorectal Dis.  2008,PMID:17509052,17509052
Diagnostic evaluation of patients presenting with bleeding per rectum by colonoscopy.,"Zia N, Hussain T, Salamat A, Mirza S, Hassan F, Waqar A.",J Ayub Med Coll Abbottabad.  2008,PMID:19024192,19024192
Saphenous vein graft conduits for insertion of hepatic arterial infusion pumps in patients with abnormal hepatic arterial anatomy.,"Yezhelyev M, Osgood M, Egnatashvili V, Lumsden A, Staley CA, Kooby DA.",J Surg Oncol.  2008,PMID:17786960,17786960
[Total colectomy--options in management of acute obstruction of the left-side colon].,"Vuković M, Moljević N.",Med Pregl.  2008,PMID:18798473,18798473
Extended left colon interposition for pharyngoesophageal reconstruction using distal-end arterial enhancement.,"Lu HI, Kuo YR, Chien CY.",Microsurgery.  2008,PMID:18623163,18623163
Laparoscopic surgery in rectal cancer: a prospective analysis of patient survival and outcomes.,"Bianchi PP, Rosati R, Bona S, Rottoli M, Elmore U, Ceriani C, Malesci A, Montorsi M.",Dis Colon Rectum.  2007,PMID:17906896,17906896
Anastomotic leakage after elective right versus left colectomy for cancer: prevalence and independent risk factors.,"Veyrie N, Ata T, Muscari F, Couchard AC, Msika S, Hay JM, Fingerhut A, Dziri C; French Associations for Surgical Research..",J Am Coll Surg.  2007,PMID:18035262,18035262
Gallbladder cancer with duodenal infiltration: is it still resectable?,"Agarwal AK, Mandal S, Singh S, Sakhuja P, Puri S.",J Gastrointest Surg.  2007,PMID:17906907,17906907
Endoscopic closure of fecal colo-cutaneous fistula by using metal clips.,"Kumar R, Naik S, Tiwari N, Sharma S, Varsheney S, Pruthi HS.",Surg Laparosc Endosc Percutan Tech.  2007,PMID:18049413,18049413
Targeting the primary tumor to generate CTL for the effective eradication of spontaneous metastases.,"Yu P, Lee Y, Wang Y, Liu X, Auh S, Gajewski TF, Schreiber H, You Z, Kaynor C, Wang X, Fu YX.",J Immunol.  2007,PMID:17641063 | PMCID:PMC2387226,17641063
"[""Fast-track"" and elective, laparoscopic colo-rectal surgery].","Widmaier U, Karrer M, Schoenberg MH.",Zentralbl Chir.  2007,PMID:17724638,17724638
Rise of colorectal cancer in Singapore: an epidemiological review.,"Wong MT, Eu KW.",ANZ J Surg.  2007,PMID:17501884,17501884
"The clinical and endoscopic characteristics, treatment, and long-term prognosis of early colorectal cancer in Taiwan.","Wei SC, Chang YT, Shieh MJ, Chang MC, Wang CY, Wong JM.",Dis Colon Rectum.  2007,PMID:17429707,17429707
Management of obstructed left colon carcinoma.,"Hennekine-Mucci S, Tuech JJ, Brehant O, Lermite E, Pessaux P, Lada P, Hamy A, Arnaud JP.",Hepatogastroenterology.  2007,PMID:17629047,17629047
Comparison between the oncologic outcome of laparoscopic surgery and open surgery for T1 and T2 rectosigmoidal and rectal carcinoma: matched case-control study.,"Nakamura T, Kokuba Y, Mitomi H, Onozato W, Hatate K, Satoh T, Ozawa H, Ihara A, Watanabe M.",Hepatogastroenterology.  2007,PMID:17629046,17629046
The survival rate and prognostic factors in 26 perforated colorectal cancer patients.,"Lee IK, Sung NY, Lee YS, Lee SC, Kang WK, Cho HM, Ahn CH, Lee DS, Oh ST, Kim JG, Jeon HM, Chang SK.",Int J Colorectal Dis.  2007,PMID:16947042,16947042
[Surgical treatment of pulmonary metastases of colorectal cancers].,"Zapf I, Molnár FT, Benko I, Kalmar NK, Szántó Z, Pótó L, Horváth OP.",Magy Seb.  2007,PMID:17727215,17727215
Surgical outcome of colon interposition by the posterior mediastinal route for thoracic esophageal cancer.,"Motoyama S, Kitamura M, Saito R, Maruyama K, Sato Y, Hayashi K, Saito H, Minamiya Y, Ogawa J.",Ann Thorac Surg.  2007,PMID:17383325,17383325
Innate handedness and disease-specific mortality in women.,"Ramadhani MK, Elias SG, van Noord PA, Grobbee DE, Peeters PH, Uiterwaal CS.",Epidemiology.  2007,PMID:17202907,17202907
"Segmental resection, lymph nodes dissection and survival in patients with left colon cancer.","Secco GB, Ravera G, Gasparo A, Percoco P, Zoli S.",Hepatogastroenterology.  2007,PMID:17523288,17523288
